0x18000D2D0 b'AIAdjustSkillPosition'
0x180023F80 b'AIConfigureDraftBuddy'
0x180023C60 b'AIDebugCommand'
0x18000D270 b'AIGetCustomSkillForLapTime'
0x180023AA0 b'AIGetDiags'
0x180023FB0 b'AIGetDraftBuddies'
0x18000D430 b'AIGetPlayerFuelConsumptionPerLap'
0x18000D3A0 b'AIGetPlayerTireWearPerLap'
0x180023DC0 b'AIIsAngryIncidentTriggered'
0x180023CD0 b'AISetHatingCar'
0x180027400 b'BGCARDATAInstallWorldGetSetupByCarNumberFn'
0x180027410 b'BGCARDATAInstallWorldGetUpgradesByCarNumberFn'
0x180027E70 b'BGCLInstallCLCountNodesFn'
0x180027E80 b'BGCLInstallCLGetNodesFn'
0x180027EA0 b'BGCLInstallCLGetPacecarInfoFn'
0x180027EB0 b'BGCLInstallCLGetPitWallFn'
0x180027E90 b'BGCLInstallCLGetSFLineFn'
0x1800C7EE0 b'BGCONSOLEInstallConsoleRegisterFn'
0x1800276C0 b'BGCONTROLInstallControlClearForcesFn'
0x180027690 b'BGCONTROLInstallControlExistsFn'
0x180027650 b'BGCONTROLInstallControlGetFn'
0x180027670 b'BGCONTROLInstallControlIsDigitalFn'
0x180027660 b'BGCONTROLInstallControlReadAnalogFn'
0x180027680 b'BGCONTROLInstallControlReadDigitalFn'
0x1800276B0 b'BGCONTROLInstallControlSetForceFeedbackFn'
0x1800276A0 b'BGCONTROLInstallControlSetRumbleForceFn'
0x1800C7AC0 b'BGEVENTInstallEventSendFn'
0x1800C7AD0 b'BGEVENTInstallEventSendViewportFn'
0x18007EC10 b'BGGFXInstallAddSphereFn'
0x18007EC00 b'BGGFXInstallAddTriangleFn'
0x18007EC20 b'BGGFXInstallClearFn'
0x1800279C0 b'BGGHOSTInstallGhostGetLineDataFn'
0x1800279D0 b'BGGHOSTInstallGhostGetLineTimeFn'
0x18002F220 b'BGLOGInstallAbnormallyTerminateFn'
0x18002F210 b'BGLOGInstallLogStringFn'
0x180031630 b'BGOPTInstallOptionsGetControllerBoolFn'
0x180031620 b'BGOPTInstallOptionsGetControllerRealFn'
0x180031650 b'BGOPTInstallOptionsGetGameBoolFn'
0x180031640 b'BGOPTInstallOptionsGetPlayerBoolFn'
